Student_ID,Seccion,Nota_Individual,Nota_Parejas,Mejora,Categoria
STD_001,A,6,19,13,Bajo Rendimiento
STD_002,A,17,20,3,Alto Rendimiento
STD_003,A,20,20,0,Alto Rendimiento
STD_004,A,5,17,12,Bajo Rendimiento
STD_005,A,19,20,1,Alto Rendimiento
STD_006,A,6,8,2,Bajo Rendimiento
STD_007,A,9,20,11,Bajo Rendimiento
STD_008,A,15,14,-1,Alto Rendimiento
STD_009,A,6,20,14,Bajo Rendimiento
STD_010,A,4,15,11,Bajo Rendimiento
STD_011,A,11,20,9,Alto Rendimiento
STD_012,A,5,14,9,Bajo Rendimiento
STD_013,A,17,14,-3,Alto Rendimiento
STD_014,A,2,17,15,Bajo Rendimiento
STD_015,A,12,19,7,Alto Rendimiento
STD_016,A,4,20,16,Bajo Rendimiento
STD_017,A,10,17,7,Alto Rendimiento
STD_018,A,20,17,-3,Alto Rendimiento
STD_019,A,4,14,10,Bajo Rendimiento
STD_020,A,0,0,0,Bajo Rendimiento
STD_021,A,4,17,13,Bajo Rendimiento
STD_022,A,18,20,2,Alto Rendimiento
STD_023,A,6,14,8,Bajo Rendimiento
STD_024,A,0,0,0,Bajo Rendimiento
STD_025,C,9,20,11,Bajo Rendimiento
STD_026,C,17,18,1,Alto Rendimiento
STD_027,C,14,20,6,Alto Rendimiento
STD_028,C,16,20,4,Alto Rendimiento
STD_029,C,12,20,8,Alto Rendimiento
STD_030,C,11,20,9,Alto Rendimiento
STD_031,C,11,20,9,Alto Rendimiento
STD_032,C,8,16,8,Bajo Rendimiento
STD_033,C,14,20,6,Alto Rendimiento
STD_034,C,16,16,0,Alto Rendimiento
STD_035,C,11,16,5,Alto Rendimiento
STD_036,C,19,20,1,Alto Rendimiento
STD_037,C,18,18,0,Alto Rendimiento
STD_038,C,9,18,9,Bajo Rendimiento
STD_039,C,13,20,7,Alto Rendimiento
STD_040,C,13,20,7,Alto Rendimiento
STD_041,C,9,14,5,Bajo Rendimiento
STD_042,C,9,16,7,Bajo Rendimiento
STD_043,C,9,20,11,Bajo Rendimiento
STD_044,C,8,6,-2,Bajo Rendimiento
STD_045,C,9,20,11,Bajo Rendimiento
STD_046,C,15,20,5,Alto Rendimiento
STD_047,C,10,6,-4,Alto Rendimiento
STD_048,C,18,20,2,Alto Rendimiento
STD_049,E,8,8,0,Bajo Rendimiento
STD_050,E,8,9,1,Bajo Rendimiento
STD_051,E,20,20,0,Alto Rendimiento
STD_052,E,5,12,7,Bajo Rendimiento
STD_053,E,20,20,0,Alto Rendimiento
STD_054,E,4,4,0,Bajo Rendimiento
STD_055,E,16,12,-4,Alto Rendimiento
STD_056,E,4,20,16,Bajo Rendimiento
STD_057,E,20,18,-2,Alto Rendimiento
STD_058,E,20,20,0,Alto Rendimiento
STD_059,E,12,20,8,Alto Rendimiento
STD_060,E,20,20,0,Alto Rendimiento
STD_061,E,5,20,15,Bajo Rendimiento
STD_062,E,8,4,-4,Bajo Rendimiento
STD_063,E,4,20,16,Bajo Rendimiento
STD_064,E,10,10,0,Alto Rendimiento
STD_065,E,9,4,-5,Bajo Rendimiento
STD_066,E,10,10,0,Alto Rendimiento
STD_067,E,13,20,7,Alto Rendimiento
STD_068,E,20,18,-2,Alto Rendimiento
STD_069,E,4,4,0,Bajo Rendimiento
STD_070,E,19,20,1,Alto Rendimiento
STD_071,E,4,8,4,Bajo Rendimiento
STD_072,E,18,14,-4,Alto Rendimiento
